2024/7/31 	 16:03:15 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.241804
	0.005000	-0.116833
	0.010000	-0.143143
	0.015000	-0.264826
	0.020000	-0.231938
	0.025000	-0.106967
	0.030000	-0.139854
	0.035000	-0.261537
	0.040000	-0.228650
	0.045000	-0.113544
	0.050000	-0.143143
	0.055000	-0.261537
	0.060000	-0.235227
	0.065000	-0.113544
	0.070000	-0.143143
	0.075000	-0.258248
	0.080000	-0.235227
	0.085000	-0.113544
	0.090000	-0.139854
	0.095000	-0.264826
	0.100000	-0.231938
	0.105000	-0.113544
	0.110000	-0.139854
	0.115000	-0.264826
	0.120000	-0.228650
	0.125000	-0.113544
	0.130000	-0.139854
	0.135000	-0.258248
	0.140000	-0.225361
	0.145000	-0.110256
	0.150000	-0.139854
	0.155000	-0.261537
	0.160000	-0.225361
	0.165000	-0.110256
	0.170000	-0.139854
	0.175000	-0.261537
	0.180000	-0.228650
	0.185000	-0.106967
	0.190000	-0.136565
	0.195000	-0.258248
	0.200000	-0.228650
	0.205000	-0.106967
	0.210000	-0.139854
	0.215000	-0.258248
	0.220000	-0.225361
	0.225000	-0.110256
	0.230000	-0.133277
	0.235000	-0.261537
	0.240000	-0.225361
	0.245000	-0.106967
	0.250000	-0.139854
	0.255000	-0.261537
	0.260000	-0.228650
	0.265000	-0.110256
	0.270000	-0.143143
	0.275000	-0.261537
	0.280000	-0.228650
	0.285000	-0.113544
	0.290000	-0.143143
	0.295000	-0.258248
	0.300000	-0.228650
	0.305000	-0.113544
	0.310000	-0.146431
	0.315000	-0.261537
	0.320000	-0.228650
	0.325000	-0.106967
	0.330000	-0.143143
	0.335000	-0.258248
	0.340000	-0.225361
	0.345000	-0.103678
	0.350000	-0.139854
	0.355000	-0.264826
	0.360000	-0.228650
	0.365000	-0.110256
	0.370000	-0.146431
	0.375000	-0.258248
	0.380000	-0.222072
	0.385000	-0.106967
	0.390000	-0.139854
	0.395000	-0.258248
	0.400000	-0.222072
	0.405000	-0.100389
	0.410000	-0.139854
	0.415000	-0.261537
	0.420000	-0.222072
	0.425000	-0.100389
	0.430000	-0.139854
	0.435000	-0.251671
	0.440000	-0.218783
	0.445000	-0.100389
	0.450000	-0.146431
	0.455000	-0.251671
	0.460000	-0.215495
	0.465000	-0.097101
	0.470000	-0.133277
	0.475000	-0.248382
	0.480000	-0.215495
	0.485000	-0.097101
	0.490000	-0.136565
	0.495000	-0.254959
	0.500000	-0.212206
	0.505000	-0.097101
	0.510000	-0.136565
	0.515000	-0.251671
	0.520000	-0.208917
	0.525000	-0.093812
	0.530000	-0.129988
	0.535000	-0.251671
	0.540000	-0.208917
	0.545000	-0.093812
	0.550000	-0.126699
	0.555000	-0.245093
	0.560000	-0.205628
	0.565000	-0.090523
	0.570000	-0.126699
	0.575000	-0.241804
	0.580000	-0.199051
	0.585000	-0.080657
	0.590000	-0.126699
	0.595000	-0.238516
	0.600000	-0.195762
	0.605000	-0.080657
	0.610000	-0.113544
	0.615000	-0.238516
	0.620000	-0.195762
	0.625000	-0.077368
	0.630000	-0.116833
	0.635000	-0.228650
	0.640000	-0.182607
	0.645000	-0.074080
	0.650000	-0.113544
	0.655000	-0.231938
	0.660000	-0.179319
	0.665000	-0.070791
	0.670000	-0.110256
	0.675000	-0.225361
	0.680000	-0.189185
	0.685000	-0.070791
	0.690000	-0.110256
