2024/7/2 	 20:03:10 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.157694
	0.002000	-0.067440
	0.004000	0.026038
	0.006000	0.077611
	0.008000	0.074388
	0.010000	0.016368
	0.012000	-0.077110
	0.014000	-0.170587
	0.016000	-0.231831
	0.018000	-0.218938
	0.020000	-0.164141
	0.022000	-0.067440
	0.024000	0.022814
	0.026000	0.074388
	0.028000	0.074388
	0.030000	0.016368
	0.032000	-0.083557
	0.034000	-0.170587
	0.036000	-0.225384
	0.038000	-0.222161
	0.040000	-0.167364
	0.042000	-0.067440
	0.044000	0.022814
	0.046000	0.077611
	0.048000	0.071165
	0.050000	0.013144
	0.052000	-0.077110
	0.054000	-0.177034
	0.056000	-0.225384
	0.058000	-0.225384
	0.060000	-0.160917
	0.062000	-0.060993
	0.064000	0.022814
	0.066000	0.080835
	0.068000	0.074388
	0.070000	0.013144
	0.072000	-0.080333
	0.074000	-0.177034
	0.076000	-0.225384
	0.078000	-0.225384
	0.080000	-0.160917
	0.082000	-0.070663
	0.084000	0.026038
	0.086000	0.080835
	0.088000	0.074388
	0.090000	0.009921
	0.092000	-0.083557
	0.094000	-0.177034
	0.096000	-0.228608
	0.098000	-0.225384
	0.100000	-0.157694
	0.102000	-0.060993
	0.104000	0.029261
	0.106000	0.084058
	0.108000	0.074388
	0.110000	0.013144
	0.112000	-0.080333
	0.114000	-0.173811
	0.116000	-0.231831
	0.118000	-0.222161
	0.120000	-0.160917
	0.122000	-0.064216
	0.124000	0.022814
	0.126000	0.084058
	0.128000	0.077611
	0.130000	0.016368
	0.132000	-0.083557
	0.134000	-0.173811
	0.136000	-0.231831
	0.138000	-0.225384
	0.140000	-0.160917
	0.142000	-0.070663
	0.144000	0.029261
	0.146000	0.084058
	0.148000	0.080835
	0.150000	0.013144
	0.152000	-0.080333
	0.154000	-0.173811
	0.156000	-0.231831
	0.158000	-0.222161
	0.160000	-0.157694
	0.162000	-0.060993
	0.164000	0.032484
	0.166000	0.084058
	0.168000	0.080835
	0.170000	0.019591
	0.172000	-0.083557
	0.174000	-0.173811
	0.176000	-0.228608
	0.178000	-0.222161
	0.180000	-0.157694
	0.182000	-0.057770
	0.184000	0.035708
	0.186000	0.084058
	0.188000	0.077611
	0.190000	0.013144
	0.192000	-0.083557
	0.194000	-0.180257
	0.196000	-0.235054
	0.198000	-0.218938
	0.200000	-0.154470
	0.202000	-0.060993
	0.204000	0.029261
	0.206000	0.084058
	0.208000	0.080835
	0.210000	0.009921
	0.212000	-0.086780
	0.214000	-0.180257
	0.216000	-0.235054
	0.218000	-0.218938
	0.220000	-0.154470
	0.222000	-0.057770
	0.224000	0.029261
	0.226000	0.077611
	0.228000	0.077611
	0.230000	0.009921
	0.232000	-0.086780
	0.234000	-0.177034
	0.236000	-0.228608
	0.238000	-0.222161
	0.240000	-0.151247
	0.242000	-0.057770
	0.244000	0.032484
	0.246000	0.084058
	0.248000	0.077611
	0.250000	0.019591
	0.252000	-0.086780
	0.254000	-0.177034
	0.256000	-0.228608
	0.258000	-0.212491
	0.260000	-0.154470
	0.262000	-0.054546
	0.264000	0.038931
	0.266000	0.087281
	0.268000	0.080835
	0.270000	0.013144
	0.272000	-0.083557
	0.274000	-0.177034
	0.276000	-0.228608
	0.278000	-0.218938
	0.280000	-0.157694
	0.282000	-0.051323
	0.284000	0.032484
	0.286000	0.087281
	0.288000	0.080835
	0.290000	0.009921
	0.292000	-0.083557
	0.294000	-0.180257
	0.296000	-0.228608
	0.298000	-0.218938
	0.300000	-0.154470
	0.302000	-0.057770
	0.304000	0.038931
	0.306000	0.090505
	0.308000	0.077611
	0.310000	0.009921
	0.312000	-0.086780
	0.314000	-0.177034
	0.316000	-0.228608
	0.318000	-0.218938
	0.320000	-0.144800
	0.322000	-0.060993
	0.324000	0.035708
	0.326000	0.084058
	0.328000	0.080835
	0.330000	0.009921
	0.332000	-0.083557
	0.334000	-0.180257
	0.336000	-0.225384
	0.338000	-0.215714
	0.340000	-0.144800
	0.342000	-0.054546
	0.344000	0.038931
	0.346000	0.084058
	0.348000	0.077611
	0.350000	0.006697
	0.352000	-0.083557
	0.354000	-0.180257
	0.356000	-0.228608
	0.358000	-0.215714
	0.360000	-0.151247
	0.362000	-0.048100
	0.364000	0.035708
	0.366000	0.090505
	0.368000	0.077611
	0.370000	0.009921
	0.372000	-0.086780
	0.374000	-0.177034
	0.376000	-0.225384
	0.378000	-0.215714
	0.380000	-0.144800
	0.382000	-0.054546
	0.384000	0.038931
	0.386000	0.087281
	0.388000	0.071165
	0.390000	0.003474
	0.392000	-0.086780
	0.394000	-0.183481
	0.396000	-0.225384
	0.398000	-0.215714
	0.400000	-0.144800
	0.402000	-0.054546
	0.404000	0.038931
	0.406000	0.090505
	0.408000	0.074388
	0.410000	0.009921
	0.412000	-0.093227
	0.414000	-0.183481
	0.416000	-0.228608
	0.418000	-0.212491
	0.420000	-0.154470
	0.422000	-0.051323
	0.424000	0.042154
	0.426000	0.087281
	0.428000	0.071165
	0.430000	0.003474
	0.432000	-0.086780
	0.434000	-0.173811
	0.436000	-0.228608
